# Rescaled matter transfer functions [-T_i(k)/k^2] for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=1.02176e-05 to 154.724 h/Mpc,
# number of wavenumbers equal to 226
# T_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# The rescaling factor [-1/k^2] with k in 1/Mpc is here to match the CMBFAST/CAMB output convention
#
# k (h/Mpc)       -T_cdm/k2         -T_b/k2           -T_g/k2           -T_ur/k2          -T_ncdm/k2        -T_tot/k2         
4.0677104588e-05  1.9957728174e+07  1.9957717634e+07  2.6391227122e+07  2.6384744112e+07  0.0000000000e+00  1.9959650557e+07
4.5640462015e-05  1.9957619029e+07  1.9957605764e+07  2.6334629125e+07  2.6326481252e+07  0.0000000000e+00  1.9959523876e+07
5.1209440644e-05  1.9957469968e+07  1.9957453275e+07  2.6263518975e+07  2.6253284204e+07  0.0000000000e+00  1.9959352786e+07
5.7457937437e-05  1.9957289868e+07  1.9957268865e+07  2.6174256889e+07  2.6161408080e+07  0.0000000000e+00  1.9959145031e+07
6.4468866151e-05  1.9957064305e+07  1.9957037880e+07  2.6062280910e+07  2.6046161530e+07  0.0000000000e+00  1.9958884774e+07
7.2335257549e-05  1.9956775779e+07  1.9956742535e+07  2.5921931961e+07  2.5901726621e+07  0.0000000000e+00  1.9958552764e+07
8.1161493867e-05  1.9956417090e+07  1.9956375280e+07  2.5746235368e+07  2.5720938424e+07  0.0000000000e+00  1.9958139635e+07
9.1064693897e-05  1.9955966401e+07  1.9955913839e+07  2.5526600355e+07  2.5494977263e+07  0.0000000000e+00  1.9957620892e+07
1.0217626709e-04  1.9955398852e+07  1.9955332789e+07  2.5252547062e+07  2.5213084654e+07  0.0000000000e+00  1.9956968421e+07
1.1464365726e-04  1.9954685882e+07  1.9954602884e+07  2.4911381732e+07  2.4862250329e+07  0.0000000000e+00  1.9956149726e+07
1.2863229912e-04  1.9953788976e+07  1.9953684766e+07  2.4487905842e+07  2.4426916568e+07  0.0000000000e+00  1.9955121578e+07
1.4432781343e-04  1.9952663807e+07  1.9952533036e+07  2.3964211738e+07  2.3888774657e+07  0.0000000000e+00  1.9953834086e+07
1.6193847014e-04  1.9951250808e+07  1.9951086854e+07  2.3319591542e+07  2.3226718393e+07  0.0000000000e+00  1.9952221257e+07
1.8169795196e-04  1.9949478593e+07  1.9949273245e+07  2.2530808115e+07  2.2417137352e+07  0.0000000000e+00  1.9950204475e+07
2.0386845520e-04  1.9947258087e+07  1.9947001246e+07  2.1572829809e+07  2.1434742618e+07  0.0000000000e+00  1.9947686872e+07
2.2874416899e-04  1.9944478683e+07  1.9944157951e+07  2.0420413136e+07  2.0254241329e+07  0.0000000000e+00  1.9944549951e+07
2.5665517892e-04  1.9941004646e+07  1.9940604936e+07  1.9050823481e+07  1.8853251106e+07  0.0000000000e+00  1.9940650833e+07
2.8797184714e-04  1.9936669819e+07  1.9936172962e+07  1.7448168613e+07  1.7216882852e+07  0.0000000000e+00  1.9935818289e+07
3.2310972681e-04  1.9931273582e+07  1.9930657972e+07  1.5609755746e+07  1.5344342355e+07  0.0000000000e+00  1.9929850643e+07
3.6253507625e-04  1.9924572202e+07  1.9923812472e+07  1.3554338933e+07  1.3257540147e+07  0.0000000000e+00  1.9922509634e+07
4.0677104588e-04  1.9916275925e+07  1.9915342915e+07  1.1331702437e+07  1.1010837489e+07  0.0000000000e+00  1.9913520448e+07
4.5640462015e-04  1.9906043471e+07  1.9904904430e+07  9.0311567145e+06  8.6994664866e+06  0.0000000000e+00  1.9902568784e+07
5.1209440644e-04  1.9893476810e+07  1.9892096503e+07  6.7844249257e+06  6.4617485795e+06  0.0000000000e+00  1.9889296552e+07
5.7457937437e-04  1.9878118628e+07  1.9876460760e+07  4.7560712134e+06  4.4676962984e+06  0.0000000000e+00  1.9873296310e+07
6.4468866151e-04  1.9859445954e+07  1.9857475993e+07  3.1133658336e+06  2.8859978117e+06  0.0000000000e+00  1.9854095742e+07
7.2335257549e-04  1.9836883791e+07  1.9834572123e+07  1.9729255727e+06  1.8269669260e+06  0.0000000000e+00  1.9831154922e+07
8.1161493867e-04  1.9809773858e+07  1.9807101595e+07  1.3372320594e+06  1.2768667216e+06  0.0000000000e+00  1.9803816228e+07
9.1064693897e-04  1.9777382546e+07  1.9774345730e+07  1.0597478288e+06  1.0655922526e+06  0.0000000000e+00  1.9771301911e+07
1.0217626709e-03  1.9738891500e+07  1.9735506287e+07  8.9687707470e+05  9.2937969039e+05  0.0000000000e+00  1.9732721704e+07
1.1464365726e-03  1.9693370603e+07  1.9689676797e+07  6.6325612138e+05  6.8190257801e+05  0.0000000000e+00  1.9687093938e+07
1.2863229912e-03  1.9639759291e+07  1.9635818733e+07  3.8325680666e+05  3.7222349744e+05  0.0000000000e+00  1.9633372167e+07
1.4432781343e-03  1.9576760039e+07  1.9572652017e+07  2.2342275510e+05  1.9858909408e+05  0.0000000000e+00  1.9570315721e+07
1.6193847014e-03  1.9503126485e+07  1.9498936138e+07  2.0020526199e+05  1.9093917814e+05  0.0000000000e+00  1.9496686108e+07
1.8169795196e-03  1.9417453485e+07  1.9413250366e+07  1.3396738502e+05  2.0810366809e+05  0.0000000000e+00  1.9411027091e+07
2.0386845520e-03  1.9318112032e+07  1.9313927682e+07  3.9722885864e+04  1.5430048331e+05  0.0000000000e+00  1.9311695078e+07
2.2874416899e-03  1.9203378211e+07  1.9199187433e+07  4.9256466371e+04  1.4527039568e+05  0.0000000000e+00  1.9196995151e+07
2.5665517892e-03  1.9071395758e+07  1.9067118149e+07  2.2144193996e+04  1.0598897484e+05  0.0000000000e+00  1.9065028828e+07
2.8797184714e-03  1.8920178066e+07  1.8915707443e+07  9.9742104910e+03  8.6422373761e+04  0.0000000000e+00  1.8913821250e+07
3.2310972681e-03  1.8747687457e+07  1.8742938754e+07  3.5386653399e+02  6.3645467668e+04  0.0000000000e+00  1.8741333699e+07
3.6253507625e-03  1.8551789819e+07  1.8546728377e+07  -2.4917582754e+03  5.6069497349e+04  0.0000000000e+00  1.8545443687e+07
4.0677104588e-03  1.8330336292e+07  1.8324946300e+07  -9.6063864167e+03  3.8201809955e+04  0.0000000000e+00  1.8324000914e+07
4.5640462015e-03  1.8081063263e+07  1.8075272197e+07  -5.8471927473e+03  2.9511084285e+04  0.0000000000e+00  1.8074738516e+07
5.1209440644e-03  1.7802072304e+07  1.7795732800e+07  -1.9459573348e+04  -1.9758658811e+04  0.0000000000e+00  1.7795735696e+07
5.7457937437e-03  1.7490698716e+07  1.7483662004e+07  -1.5182604502e+04  -1.5416011007e+04  0.0000000000e+00  1.7484346080e+07
6.4468866151e-03  1.7144392639e+07  1.7136532680e+07  -1.1821858008e+04  -1.2003588288e+04  0.0000000000e+00  1.7138014178e+07
7.2335257549e-03  1.6757642236e+07  1.6748752474e+07  -9.2086194206e+03  -9.3497735764e+03  0.0000000000e+00  1.6751217097e+07
8.1161493867e-03  1.6336565865e+07  1.6326395312e+07  -7.1256486795e+03  -7.2349422884e+03  0.0000000000e+00  1.6330064386e+07
9.1064693897e-03  1.5874808226e+07  1.5863096362e+07  -5.4939135490e+03  -5.5782610780e+03  0.0000000000e+00  1.5868201164e+07
1.0217626709e-02  1.5367800850e+07  1.5354198285e+07  -4.2274544996e+03  -4.2923183959e+03  0.0000000000e+00  1.5361046269e+07
1.1464365726e-02  1.4810920908e+07  1.4795068548e+07  -3.2533801446e+03  -3.3030682701e+03  0.0000000000e+00  1.4803976742e+07
1.2863229912e-02  1.4216774701e+07  1.4198246609e+07  -2.4696673729e+03  -2.5075300675e+03  0.0000000000e+00  1.4209584550e+07
1.4432781343e-02  1.3569347644e+07  1.3547687945e+07  -1.8728200824e+03  -1.9015254048e+03  0.0000000000e+00  1.3561855158e+07
1.6193847013e-02  1.2871731574e+07  1.2846497984e+07  -1.4130444821e+03  -1.4346761678e+03  0.0000000000e+00  1.2863881645e+07
1.8169795146e-02  1.2127324500e+07  1.2098098786e+07  -1.0564458986e+03  -1.0726316440e+03  0.0000000000e+00  1.2119064825e+07
2.0386843749e-02  1.1337886022e+07  1.1304383015e+07  -7.8291378616e+02  -7.9492947854e+02  0.0000000000e+00  1.1329184862e+07
2.2874377661e-02  1.0505975146e+07  1.0468103604e+07  -5.7658147895e+02  -5.8542534032e+02  0.0000000000e+00  1.0496830731e+07
2.5664945563e-02  9.6464338002e+06  9.6044591399e+06  -4.1961188528e+02  -4.2605978522e+02  0.0000000000e+00  9.6368964387e+06
2.8791443942e-02  8.7736302143e+06  8.7283213685e+06  -3.0323416923e+02  -3.0789352967e+02  0.0000000000e+00  8.7638257034e+06
3.2269941226e-02  7.9173872609e+06  7.8701343541e+06  -2.1730996623e+02  -2.2065557811e+02  0.0000000000e+00  7.9075309093e+06
3.6040922357e-02  7.1231339139e+06  7.0759550204e+06  -1.5659683991e+02  -1.5900939468e+02  0.0000000000e+00  7.1135269419e+06
3.9883466524e-02  6.4499382109e+06  6.4049473182e+06  -1.1544603391e+02  -1.1722915858e+02  0.0000000000e+00  6.4408793658e+06
4.3492009369e-02  5.9308528952e+06  5.8895007415e+06  -8.8898671885e+01  -9.0276779222e+01  0.0000000000e+00  5.9225259414e+06
4.6725576878e-02  5.5452305739e+06  5.5080003761e+06  -7.1678383060e+01  -7.2794114782e+01  0.0000000000e+00  5.5376721458e+06
4.9622088528e-02  5.2540270786e+06  5.2208888601e+06  -6.0567203979e+01  -6.1505277236e+01  0.0000000000e+00  5.2472041753e+06
5.2265381565e-02  5.0227781462e+06  4.9934335408e+06  -5.1723568576e+01  -5.2531081301e+01  0.0000000000e+00  5.0166255513e+06
5.4726697090e-02  4.8335324785e+06  4.8076014430e+06  -4.6433306264e+01  -4.7144142586e+01  0.0000000000e+00  4.8279774042e+06
5.7057759973e-02  4.6718709682e+06  4.6489262642e+06  -4.1111302519e+01  -4.1743071532e+01  0.0000000000e+00  4.6668374633e+06
5.9295305668e-02  4.5280354450e+06  4.5076653192e+06  -3.6916040515e+01  -3.7483095474e+01  0.0000000000e+00  4.5234529312e+06
6.1465821196e-02  4.3941890398e+06  4.3759749901e+06  -3.3360775362e+01  -3.3872960015e+01  0.0000000000e+00  4.3899882145e+06
6.3588894505e-02  4.2704972454e+06  4.2540223875e+06  -3.0154604958e+01  -3.0619438956e+01  0.0000000000e+00  4.2666090128e+06
6.5679409480e-02  4.1499109880e+06  4.1347845300e+06  -2.7704949017e+01  -2.8128837878e+01  0.0000000000e+00  4.1462724956e+06
6.7748975096e-02  4.0300698085e+06  4.0159172156e+06  -2.5220116213e+01  -2.5606876961e+01  0.0000000000e+00  4.0266214863e+06
6.9806869513e-02  3.9182968423e+06  3.9047778921e+06  -2.3080949149e+01  -2.3435112487e+01  0.0000000000e+00  3.9149823663e+06
7.1860677022e-02  3.8026398482e+06  3.7894407088e+06  -2.1183824054e+01  -2.1508256574e+01  0.0000000000e+00  3.7994106521e+06
7.3916727488e-02  3.6878209338e+06  3.6746685175e+06  -1.9398765789e+01  -1.9696101242e+01  0.0000000000e+00  3.6846334945e+06
7.5980406187e-02  3.5728715214e+06  3.5595350153e+06  -1.7754039278e+01  -1.8026599270e+01  0.0000000000e+00  3.5696893044e+06
7.8056376724e-02  3.4573163861e+06  3.4436181480e+06  -1.6332344631e+01  -1.6582343777e+01  0.0000000000e+00  3.4541114243e+06
8.0148744432e-02  3.3431413540e+06  3.3289476341e+06  -1.4936486033e+01  -1.5165678370e+01  0.0000000000e+00  3.3398920410e+06
8.2261178179e-02  3.2240062471e+06  3.2092339621e+06  -1.3602793376e+01  -1.3812462075e+01  0.0000000000e+00  3.2207009020e+06
8.4397002572e-02  3.1169392893e+06  3.1015741591e+06  -1.2581128115e+01  -1.2773864190e+01  0.0000000000e+00  3.1135720384e+06
8.6559268730e-02  3.0076544618e+06  2.9917181292e+06  -1.1520811808e+01  -1.1697565029e+01  0.0000000000e+00  3.0042293983e+06
8.8750809272e-02  2.9018232451e+06  2.8853892601e+06  -1.0559331925e+01  -1.0721511212e+01  0.0000000000e+00  2.8983509899e+06
9.0974281530e-02  2.8001228156e+06  2.7833209267e+06  -9.7217680275e+00  -9.8707472315e+00  0.0000000000e+00  2.7966226922e+06
9.3232201837e-02  2.7032597328e+06  2.6862383444e+06  -8.9219834342e+00  -9.0588927216e+00  0.0000000000e+00  2.6997538094e+06
9.5526972977e-02  2.6129268661e+06  2.5958705228e+06  -8.2023703498e+00  -8.3283949336e+00  0.0000000000e+00  2.6094424309e+06
9.7860906312e-02  2.5284356451e+06  2.5115607854e+06  -7.5662171158e+00  -7.6824227302e+00  0.0000000000e+00  2.5250052461e+06
1.0023623975e-01  2.4502439173e+06  2.4337535923e+06  -6.9912522379e+00  -7.0985940344e+00  0.0000000000e+00  2.4468978443e+06
1.0265515242e-01  2.3767735598e+06  2.3608689101e+06  -6.4570556787e+00  -6.5563131585e+00  0.0000000000e+00  2.3735422721e+06
1.0511977663e-01  2.3142573320e+06  2.2991312830e+06  -6.0084099279e+00  -6.1006048201e+00  0.0000000000e+00  2.3111681221e+06
1.0763220780e-01  2.2556778188e+06  2.2414801998e+06  -5.5888151884e+00  -5.6745387560e+00  0.0000000000e+00  2.2527532502e+06
1.1019451253e-01  2.2020028966e+06  2.1888424548e+06  -5.2050018827e+00  -5.2848430317e+00  0.0000000000e+00  2.1992587334e+06
1.1280873534e-01  2.1525493150e+06  2.1404859794e+06  -4.8566526795e+00  -4.9311328337e+00  0.0000000000e+00  2.1499937903e+06
1.1547690415e-01  2.1064875323e+06  2.0955282622e+06  -4.5295752386e+00  -4.5991248781e+00  0.0000000000e+00  2.1041207340e+06
1.1820103488e-01  2.0615921258e+06  2.0516812302e+06  -4.2389782308e+00  -4.3039637560e+00  0.0000000000e+00  2.0594048804e+06
1.2098313516e-01  2.0174339325e+06  2.0084579486e+06  -3.9558176634e+00  -4.0165160992e+00  0.0000000000e+00  2.0154080407e+06
1.2382520743e-01  1.9721847740e+06  1.9639917696e+06  -3.6967823750e+00  -3.7534394926e+00  0.0000000000e+00  1.9702964876e+06
1.2672925149e-01  1.9254016432e+06  1.9178011700e+06  -3.4403672530e+00  -3.4931658656e+00  0.0000000000e+00  1.9236212437e+06
1.2969726664e-01  1.8757903720e+06  1.8685703509e+06  -3.2042336505e+00  -3.2533533792e+00  0.0000000000e+00  1.8740851005e+06
1.3273125339e-01  1.8232220145e+06  1.8161676140e+06  -2.9733402093e+00  -3.0189248325e+00  0.0000000000e+00  1.8215587145e+06
1.3583321506e-01  1.7679869095e+06  1.7609036928e+06  -2.7457711461e+00  -2.7879636948e+00  0.0000000000e+00  1.7663355694e+06
1.3900515906e-01  1.7097990366e+06  1.7025263881e+06  -2.5375204045e+00  -2.5764855860e+00  0.0000000000e+00  1.7081350894e+06
1.4224909818e-01  1.6501618728e+06  1.6425942485e+06  -2.3398636166e+00  -2.3757746939e+00  0.0000000000e+00  1.6484690280e+06
1.4556705174e-01  1.5899505865e+06  1.5820424167e+06  -2.1555480379e+00  -2.1885926352e+00  0.0000000000e+00  1.5882217953e+06
1.4896104687e-01  1.5308948694e+06  1.5226676299e+06  -1.9822651181e+00  -2.0126476201e+00  0.0000000000e+00  1.5291331888e+06
1.5243311980e-01  1.4743374461e+06  1.4658798657e+06  -1.8202143484e+00  -1.8481495065e+00  0.0000000000e+00  1.4725561883e+06
1.5598531743e-01  1.4211985536e+06  1.4126460703e+06  -1.6788618780e+00  -1.7045829317e+00  0.0000000000e+00  1.4194181567e+06
1.5961969898e-01  1.3731396523e+06  1.3646624534e+06  -1.5447218024e+00  -1.5684452501e+00  0.0000000000e+00  1.3713855634e+06
1.6333833807e-01  1.3298063956e+06  1.3215855836e+06  -1.4301869965e+00  -1.4521306018e+00  0.0000000000e+00  1.3281058976e+06
1.6714332504e-01  1.2917414377e+06  1.2839467764e+06  -1.3252341490e+00  -1.3455877871e+00  0.0000000000e+00  1.2901198542e+06
1.7103676976e-01  1.2575053682e+06  1.2502647951e+06  -1.2343167828e+00  -1.2532444140e+00  0.0000000000e+00  1.2559818261e+06
1.7502080493e-01  1.2272365522e+06  1.2206128137e+06  -1.1501867216e+00  -1.1678279639e+00  0.0000000000e+00  1.2258198071e+06
1.7909758981e-01  1.1981413367e+06  1.1921353003e+06  -1.0735265165e+00  -1.0899775834e+00  0.0000000000e+00  1.1968311748e+06
1.8326931470e-01  1.1698953104e+06  1.1644370021e+06  -9.9970677364e-01  -1.0150452651e+00  0.0000000000e+00  1.1686803899e+06
1.8753820600e-01  1.1404306188e+06  1.1353930867e+06  -9.2971842303e-01  -9.4399633479e-01  0.0000000000e+00  1.1392911881e+06
1.9190653198e-01  1.1086114078e+06  1.1038377916e+06  -8.6354194598e-01  -8.7679789018e-01  0.0000000000e+00  1.1075233160e+06
1.9637660946e-01  1.0742537138e+06  1.0695808773e+06  -7.9961935903e-01  -8.1188724070e-01  0.0000000000e+00  1.0731918706e+06
2.0095081121e-01  1.0374507792e+06  1.0327427724e+06  -7.3891643403e-01  -7.5023328881e-01  0.0000000000e+00  1.0363943742e+06
2.0563157440e-01  9.9977725575e+05  9.9495162667e+05  -6.7916727791e-01  -6.8958016540e-01  0.0000000000e+00  9.9871348451e+05
2.1042141001e-01  9.6210674840e+05  9.5714361926e+05  -6.2408976846e-01  -6.3365866975e-01  0.0000000000e+00  9.6103246024e+05
2.1532291337e-01  9.2600025928e+05  9.2094645245e+05  -5.7317371638e-01  -5.8196768280e-01  0.0000000000e+00  9.2492240551e+05
2.2033877580e-01  8.9260155710e+05  8.8755639431e+05  -5.2753252931e-01  -5.3562733593e-01  0.0000000000e+00  8.9153506563e+05
2.2547179770e-01  8.6255409812e+05  8.5763752251e+05  -4.8700314162e-01  -4.9447363751e-01  0.0000000000e+00  8.6151697191e+05
2.3072490285e-01  8.3598103048e+05  8.3130705780e+05  -4.5122687132e-01  -4.5814232874e-01  0.0000000000e+00  8.3499029644e+05
2.3610115442e-01  8.1252015952e+05  8.0816473116e+05  -4.1818746679e-01  -4.2460523225e-01  0.0000000000e+00  8.1158691981e+05
2.4160377256e-01  7.9064098117e+05  7.8662402565e+05  -3.8885614460e-01  -3.9482062943e-01  0.0000000000e+00  7.8976792035e+05
2.4723615391e-01  7.6913187054e+05  7.6541411775e+05  -3.6109725675e-01  -3.6663806295e-01  0.0000000000e+00  7.6831265533e+05
2.5300189318e-01  7.4684599636e+05  7.4334478074e+05  -3.3486534125e-01  -3.4000334444e-01  0.0000000000e+00  7.4606776036e+05
2.5890480707e-01  7.2309789470e+05  7.1971113647e+05  -3.1018854055e-01  -3.1494006035e-01  0.0000000000e+00  7.2234490031e+05
2.6494896083e-01  6.9823349539e+05  6.9487581721e+05  -2.8558867337e-01  -2.8996894656e-01  0.0000000000e+00  6.9749254810e+05
2.7113869782e-01  6.7266843441e+05  6.6929429653e+05  -2.6281375352e-01  -2.6684324221e-01  0.0000000000e+00  6.7193252784e+05
2.7747867245e-01  6.4766247411e+05  6.4427585964e+05  -2.4150022478e-01  -2.4520431251e-01  0.0000000000e+00  6.4693207212e+05
2.8397388706e-01  6.2427295910e+05  6.2092412346e+05  -2.2217787655e-01  -2.2558652325e-01  0.0000000000e+00  6.2355554131e+05
2.9062973338e-01  6.0306070353e+05  5.9981732746e+05  -2.0499359111e-01  -2.0813747797e-01  0.0000000000e+00  6.0236634289e+05
2.9745203921e-01  5.8389647421e+05  5.8081586762e+05  -1.8944890851e-01  -1.9235484503e-01  0.0000000000e+00  5.8323363903e+05
3.0444712128e-01  5.6614661456e+05  5.6325591033e+05  -1.7547141000e-01  -1.7816133698e-01  0.0000000000e+00  5.6551918103e+05
3.1162184537e-01  5.4892559878e+05  5.4620644893e+05  -1.6223932154e-01  -1.6472847643e-01  0.0000000000e+00  5.4833050133e+05
3.1898369495e-01  5.3126263287e+05  5.2866760531e+05  -1.5002134830e-01  -1.5232084403e-01  0.0000000000e+00  5.3069248786e+05
3.2654085000e-01  5.1302265532e+05  5.1049808860e+05  -1.3812127915e-01  -1.4023998452e-01  0.0000000000e+00  5.1246913245e+05
3.3430227789e-01  4.9446898925e+05  4.9198027862e+05  -1.2688222460e-01  -1.2883028970e-01  0.0000000000e+00  4.9392669906e+05
3.4227783881e-01  4.7617152424e+05  4.7371658491e+05  -1.1676086870e-01  -1.1855079959e-01  0.0000000000e+00  4.7564005973e+05
3.5047840872e-01  4.5895181462e+05  4.5655663371e+05  -1.0723742832e-01  -1.0888263702e-01  0.0000000000e+00  4.5843497114e+05
3.5891602349e-01  4.4302377347e+05  4.4072333650e+05  -9.8685331039e-02  -1.0019961786e-01  0.0000000000e+00  4.4252670820e+05
3.6760404893e-01  4.2805267966e+05  4.2586746831e+05  -9.1050717626e-02  -9.2445810923e-02  0.0000000000e+00  4.2757835172e+05
3.7655738263e-01  4.1358657241e+05  4.1151065225e+05  -8.3734213260e-02  -8.5018632072e-02  0.0000000000e+00  4.1313389038e+05
3.8579269504e-01  3.9902851554e+05  3.9703621784e+05  -7.6988103617e-02  -7.8168741155e-02  0.0000000000e+00  3.9859343957e+05
3.9532871941e-01  3.8434655710e+05  3.8241187279e+05  -7.0543563983e-02  -7.1626401812e-02  0.0000000000e+00  3.8392500300e+05
4.0518660301e-01  3.6978472898e+05  3.6789888297e+05  -6.4593600531e-02  -6.5585296820e-02  0.0000000000e+00  3.6937527034e+05
4.1539033579e-01  3.5572634544e+05  3.5389907433e+05  -5.9223215243e-02  -6.0131108101e-02  0.0000000000e+00  3.5533037445e+05
4.2596727776e-01  3.4240094271e+05  3.4064844935e+05  -5.4209012560e-02  -5.5040039563e-02  0.0000000000e+00  3.4202080749e+05
4.3694881353e-01  3.2964982858e+05  3.2797863479e+05  -4.9564184513e-02  -5.0324489481e-02  0.0000000000e+00  3.2928639073e+05
4.4837117210e-01  3.1709043966e+05  3.1549176248e+05  -4.5270135406e-02  -4.5964674285e-02  0.0000000000e+00  3.1674225011e+05
4.6027646388e-01  3.0451521187e+05  3.0297490221e+05  -4.1275341913e-02  -4.1908316828e-02  0.0000000000e+00  3.0418003336e+05
4.7271400675e-01  2.9208312469e+05  2.9059631485e+05  -3.7485346045e-02  -3.8060852429e-02  0.0000000000e+00  2.9176014308e+05
4.8574204135e-01  2.7998301891e+05  2.7855532444e+05  -3.4038100168e-02  -3.4560583155e-02  0.0000000000e+00  2.7967302469e+05
4.9942997812e-01  2.6827927436e+05  2.6691693955e+05  -3.0866864319e-02  -3.1340471024e-02  0.0000000000e+00  2.6798313839e+05
5.1386138149e-01  2.5676674090e+05  2.5546693511e+05  -2.7904454021e-02  -2.8332631883e-02  0.0000000000e+00  2.5648395743e+05
5.2913799272e-01  2.4526024767e+05  2.4401614783e+05  -2.5144367721e-02  -2.5530096194e-02  0.0000000000e+00  2.4498973374e+05
5.4538524185e-01  2.3390289312e+05  2.3271370610e+05  -2.2551996228e-02  -2.2898230697e-02  0.0000000000e+00  2.3364447845e+05
5.6275993495e-01  2.2270277193e+05  2.2157199219e+05  -2.0180454691e-02  -2.0490095903e-02  0.0000000000e+00  2.2245696318e+05
5.8146118299e-01  2.1157956010e+05  2.1050675060e+05  -1.7970304573e-02  -1.8245883898e-02  0.0000000000e+00  2.1134626500e+05
6.0174626367e-01  2.0044635534e+05  1.9942899903e+05  -1.5875085026e-02  -1.6118816633e-02  0.0000000000e+00  2.0022517805e+05
6.2395415006e-01  1.8927286160e+05  1.8831202208e+05  -1.3951801954e-02  -1.4165874939e-02  0.0000000000e+00  1.8906398271e+05
6.4854119747e-01  1.7804400653e+05  1.7714096555e+05  -1.2142669811e-02  -1.2329053441e-02  0.0000000000e+00  1.7784764570e+05
6.7613641937e-01  1.6661119049e+05  1.6576568245e+05  -1.0460848667e-02  -1.0621330210e-02  0.0000000000e+00  1.6642736665e+05
7.0762848305e-01  1.5494700008e+05  1.5416099068e+05  -8.8776150295e-03  -9.0138648020e-03  0.0000000000e+00  1.5477609395e+05
7.4430293605e-01  1.4288769092e+05  1.4216275784e+05  -7.4032472286e-03  -7.5168226317e-03  0.0000000000e+00  1.4273007069e+05
7.8805162921e-01  1.3034703786e+05  1.2968582354e+05  -6.0245524132e-03  -6.1169757131e-03  0.0000000000e+00  1.3020326626e+05
8.4165238084e-01  1.1720142431e+05  1.1660690669e+05  -4.7486816288e-03  -4.8215356302e-03  0.0000000000e+00  1.1707215421e+05
9.0897823511e-01  1.0342874183e+05  1.0290409662e+05  -3.5925993648e-03  -3.6477202451e-03  0.0000000000e+00  1.0331466405e+05
9.9458187370e-01  8.9287957715e+04  8.8835038507e+04  -2.5903125409e-03  -2.6300581406e-03  0.0000000000e+00  8.9189476096e+04
1.1018020757e+00  7.5455865156e+04  7.5073087502e+04  -1.7836004957e-03  -1.8109695020e-03  0.0000000000e+00  7.5372636278e+04
1.2306361617e+00  6.2839199119e+04  6.2520385924e+04  -1.1906612013e-03  -1.2089314556e-03  0.0000000000e+00  6.2769880544e+04
1.3792707088e+00  5.1968287991e+04  5.1704570852e+04  -7.8399624422e-04  -7.9602496059e-04  0.0000000000e+00  5.1910952158e+04
1.5472780312e+00  4.2860538549e+04  4.2642969997e+04  -5.1386251534e-04  -5.2174578529e-04  0.0000000000e+00  4.2813240163e+04
1.7360362866e+00  3.5296887590e+04  3.5117636354e+04  -3.3621030244e-04  -3.4136747326e-04  0.0000000000e+00  3.5257923764e+04
1.9478613171e+00  2.9034507518e+04  2.8886969920e+04  -2.1979229640e-04  -2.2316220256e-04  0.0000000000e+00  2.9002442535e+04
2.1855361426e+00  2.3861999347e+04  2.3740663831e+04  -1.4338706004e-04  -1.4558679712e-04  0.0000000000e+00  2.3835633791e+04
