#       q          E0lin        Elin         E2lin      E0loop220    E0loop130    E0loop22     E0loop13     E2loop22     E2loop13      E1loop       E3loop         Xi          Zeta          Chi        U10lin         U3           U11          U20          V10          V12          X10          Y10          X20          Y20     
1.093966e-06 1.108941e+02 1.108941e+02 5.876784e-10 4.017614e+00 2.083738e+01 4.017738e+00 2.083795e+01 3.377267e-10 2.291421e-09 2.760809e-07 -2.166510e-14 4.451061e+02 3.538845e+04 6.573921e+02 -2.462260e-04 -2.260892e-03 -1.015153e-02 -5.628058e-03 1.506189e-03 2.693193e-03 4.257523e-03 1.176576e-08 9.204782e-09 1.828644e-09
1.097246e-06 1.108941e+02 1.108941e+02 5.903737e-10 4.017614e+00 2.083738e+01 4.017738e+00 2.083795e+01 3.395079e-10 2.302798e-09 2.767849e-07 -2.182236e-14 4.448912e+02 3.535433e+04 6.569574e+02 -2.467242e-04 -2.266379e-03 -1.017601e-02 -5.642227e-03 1.509982e-03 2.698540e-03 4.257560e-03 1.182557e-08 9.247818e-09 1.836794e-09
1.100536e-06 1.108941e+02 1.108941e+02 5.930815e-10 4.017614e+00 2.083738e+01 4.017738e+00 2.083795e+01 3.412986e-10 2.314232e-09 2.774906e-07 -2.198077e-14 4.446763e+02 3.532024e+04 6.565230e+02 -2.472234e-04 -2.271880e-03 -1.020055e-02 -5.656431e-03 1.513785e-03 2.703898e-03 4.257596e-03 1.188569e-08 9.291054e-09 1.844979e-09
1.103835e-06 1.108941e+02 1.108941e+02 5.958016e-10 4.017614e+00 2.083738e+01 4.017738e+00 2.083795e+01 3.430987e-10 2.325722e-09 2.781981e-07 -2.214032e-14 4.444616e+02 3.528618e+04 6.560889e+02 -2.477236e-04 -2.277394e-03 -1.022515e-02 -5.670671e-03 1.517597e-03 2.709266e-03 4.257632e-03 1.194612e-08 9.334493e-09 1.853200e-09
1.107145e-06 1.108941e+02 1.108941e+02 5.985343e-10 4.017614e+00 2.083738e+01 4.017738e+00 2.083795e+01 3.449082e-10 2.337270e-09 2.789073e-07 -2.230104e-14 4.442469e+02 3.525216e+04 6.556551e+02 -2.482248e-04 -2.282922e-03 -1.024981e-02 -5.684947e-03 1.521419e-03 2.714645e-03 4.257669e-03 1.200685e-08 9.378135e-09 1.861458e-09
1.110464e-06 1.108941e+02 1.108941e+02 6.012794e-10 4.017614e+00 2.083738e+01 4.017738e+00 2.083795e+01 3.467274e-10 2.348874e-09 2.796183e-07 -2.246292e-14 4.440324e+02 3.521817e+04 6.552216e+02 -2.487270e-04 -2.288463e-03 -1.027453e-02 -5.699259e-03 1.525251e-03 2.720035e-03 4.257705e-03 1.206789e-08 9.421981e-09 1.869753e-09
1.113794e-06 1.108941e+02 1.108941e+02 6.040372e-10 4.017614e+00 2.083738e+01 4.017737e+00 2.083795e+01 3.485561e-10 2.360537e-09 2.803311e-07 -2.262597e-14 4.438179e+02 3.518421e+04 6.547884e+02 -2.492303e-04 -2.294017e-03 -1.029930e-02 -5.713607e-03 1.529092e-03 2.725435e-03 4.257741e-03 1.212924e-08 9.466033e-09 1.878085e-09
1.117133e-06 1.108941e+02 1.108941e+02 6.068076e-10 4.017614e+00 2.083738e+01 4.017737e+00 2.083795e+01 3.503944e-10 2.372257e-09 2.810456e-07 -2.279021e-14 4.436036e+02 3.515029e+04 6.543554e+02 -2.497345e-04 -2.299585e-03 -1.032414e-02 -5.727991e-03 1.532942e-03 2.730846e-03 4.257778e-03 1.219090e-08 9.510290e-09 1.886453e-09
1.120482e-06 1.108941e+02 1.108941e+02 6.095907e-10 4.017614e+00 2.083738e+01 4.017737e+00 2.083795e+01 3.522425e-10 2.384036e-09 2.817618e-07 -2.295564e-14 4.433894e+02 3.511640e+04 6.539228e+02 -2.502398e-04 -2.305167e-03 -1.034904e-02 -5.742411e-03 1.536803e-03 2.736268e-03 4.257814e-03 1.225288e-08 9.554754e-09 1.894858e-09
1.123842e-06 1.108941e+02 1.108941e+02 6.123866e-10 4.017614e+00 2.083738e+01 4.017737e+00 2.083795e+01 3.541003e-10 2.395872e-09 2.824798e-07 -2.312228e-14 4.431752e+02 3.508254e+04 6.534904e+02 -2.507461e-04 -2.310762e-03 -1.037399e-02 -5.756868e-03 1.540673e-03 2.741700e-03 4.257850e-03 1.231517e-08 9.599426e-09 1.903301e-09
1.127211e-06 1.108941e+02 1.108941e+02 6.151953e-10 4.017614e+00 2.083738e+01 4.017737e+00 2.083795e+01 3.559679e-10 2.407768e-09 2.831996e-07 -2.329012e-14 4.429612e+02 3.504871e+04 6.530583e+02 -2.512535e-04 -2.316370e-03 -1.039901e-02 -5.771361e-03 1.544553e-03 2.747144e-03 4.257886e-03 1.237778e-08 9.644307e-09 1.911781e-09
1.130590e-06 1.108941e+02 1.108941e+02 6.180169e-10 4.017614e+00 2.083738e+01 4.017737e+00 2.083795e+01 3.578454e-10 2.419723e-09 2.839212e-07 -2.345918e-14 4.427473e+02 3.501492e+04 6.526265e+02 -2.517618e-04 -2.321992e-03 -1.042409e-02 -5.785890e-03 1.548443e-03 2.752598e-03 4.257923e-03 1.244071e-08 9.689398e-09 1.920298e-09
1.133980e-06 1.108941e+02 1.108941e+02 6.208514e-10 4.017614e+00 2.083738e+01 4.017737e+00 2.083795e+01 3.597327e-10 2.431737e-09 2.846446e-07 -2.362946e-14 4.425335e+02 3.498116e+04 6.521950e+02 -2.522712e-04 -2.327628e-03 -1.044923e-02 -5.800456e-03 1.552342e-03 2.758063e-03 4.257959e-03 1.250396e-08 9.734699e-09 1.928854e-09
1.137380e-06 1.108941e+02 1.108941e+02 6.236989e-10 4.017614e+00 2.083738e+01 4.017737e+00 2.083795e+01 3.616300e-10 2.443811e-09 2.853697e-07 -2.380099e-14 4.423198e+02 3.494743e+04 6.517638e+02 -2.527816e-04 -2.333277e-03 -1.047443e-02 -5.815059e-03 1.556252e-03 2.763539e-03 4.257995e-03 1.256752e-08 9.780213e-09 1.937447e-09
