# k[h/Mpc]   R1   R2 
# 
1.1927e-03 4.2788e-01 -1.0634e-01
1.2038e-03 4.3953e-01 -1.0923e-01
1.2149e-03 4.5149e-01 -1.1219e-01
1.2262e-03 4.6378e-01 -1.1523e-01
1.2375e-03 4.7640e-01 -1.1836e-01
1.2490e-03 4.8936e-01 -1.2156e-01
1.2605e-03 5.0267e-01 -1.2486e-01
1.2722e-03 5.1633e-01 -1.2824e-01
1.2840e-03 5.3036e-01 -1.3171e-01
1.2959e-03 5.4478e-01 -1.3528e-01
1.3079e-03 5.5957e-01 -1.3894e-01
1.3200e-03 5.7477e-01 -1.4270e-01
1.3322e-03 5.9038e-01 -1.4656e-01
1.3445e-03 6.0640e-01 -1.5052e-01
1.3570e-03 6.2285e-01 -1.5459e-01
1.3695e-03 6.3975e-01 -1.5876e-01
1.3822e-03 6.5710e-01 -1.6305e-01
1.3950e-03 6.7491e-01 -1.6745e-01
1.4079e-03 6.9320e-01 -1.7197e-01
1.4209e-03 7.1199e-01 -1.7661e-01
1.4341e-03 7.3127e-01 -1.8137e-01
1.4474e-03 7.5107e-01 -1.8626e-01
1.4608e-03 7.7140e-01 -1.9128e-01
1.4743e-03 7.9228e-01 -1.9644e-01
1.4879e-03 8.1371e-01 -2.0173e-01
1.5017e-03 8.3572e-01 -2.0716e-01
1.5156e-03 8.5831e-01 -2.1273e-01
1.5297e-03 8.8151e-01 -2.1845e-01
1.5438e-03 9.0532e-01 -2.2433e-01
1.5581e-03 9.2977e-01 -2.3035e-01
1.5725e-03 9.5488e-01 -2.3654e-01
1.5871e-03 9.8065e-01 -2.4289e-01
1.6018e-03 1.0071e+00 -2.4941e-01
1.6166e-03 1.0343e+00 -2.5610e-01
1.6316e-03 1.0622e+00 -2.6297e-01
1.6467e-03 1.0908e+00 -2.7002e-01
1.6619e-03 1.1202e+00 -2.7726e-01
1.6773e-03 1.1503e+00 -2.8468e-01
1.6928e-03 1.1813e+00 -2.9230e-01
1.7085e-03 1.2131e+00 -3.0013e-01
1.7243e-03 1.2457e+00 -3.0815e-01
1.7403e-03 1.2792e+00 -3.1639e-01
1.7564e-03 1.3136e+00 -3.2485e-01
1.7727e-03 1.3489e+00 -3.3352e-01
1.7891e-03 1.3851e+00 -3.4243e-01
1.8056e-03 1.4223e+00 -3.5156e-01
1.8223e-03 1.4605e+00 -3.6094e-01
1.8392e-03 1.4997e+00 -3.7056e-01
1.8562e-03 1.5399e+00 -3.8043e-01
1.8734e-03 1.5812e+00 -3.9056e-01
1.8908e-03 1.6235e+00 -4.0096e-01
1.9083e-03 1.6670e+00 -4.1162e-01
1.9259e-03 1.7116e+00 -4.2257e-01
