# k[h/Mpc]   P_Zel   P_A    P_W    P_d    P_dd     P_d^2    P_d^2d^2  P_dd^2    P_s^2    P_ds^2    P_d^2s^2   P_s^2s^2   P_D2d     P_dD2d
# 
2.9864e-02 5.3692e+03 2.3355e+01 -5.7678e+00 1.0800e+04 5.4188e+03 9.0397e+00 1.4182e+02 2.6156e+01 -1.0777e+00 4.7383e-01 3.1771e+02 1.9769e+02 0.0000e+00 0.0000e+00
3.2379e-02 5.0046e+03 2.4937e+01 -5.6452e+00 1.0077e+04 5.0555e+03 1.0881e+01 1.4120e+02 2.9768e+01 -1.9498e+00 6.7935e-02 3.0979e+02 1.9204e+02 0.0000e+00 0.0000e+00
3.5106e-02 4.6342e+03 2.6403e+01 -5.4138e+00 9.3417e+03 4.6885e+03 1.2927e+01 1.4049e+02 3.3676e+01 -2.9162e+00 -3.9255e-01 3.0130e+02 1.8610e+02 0.0000e+00 0.0000e+00
3.8064e-02 4.2741e+03 2.7802e+01 -5.0929e+00 8.6272e+03 4.3351e+03 1.5173e+01 1.3968e+02 3.7867e+01 -3.9745e+00 -9.0772e-01 2.9224e+02 1.7989e+02 0.0000e+00 0.0000e+00
4.1270e-02 3.9409e+03 2.9210e+01 -4.7119e+00 7.9671e+03 4.0082e+03 1.7616e+01 1.3875e+02 4.2331e+01 -5.1380e+00 -1.4824e+00 2.8261e+02 1.7344e+02 0.0000e+00 0.0000e+00
4.4746e-02 3.6448e+03 3.0729e+01 -4.2947e+00 7.3818e+03 3.7171e+03 2.0268e+01 1.3769e+02 4.7072e+01 -6.4196e+00 -2.1279e+00 2.7240e+02 1.6679e+02 0.0000e+00 0.0000e+00
4.8515e-02 3.3936e+03 3.2449e+01 -3.8611e+00 6.8861e+03 3.4693e+03 2.3159e+01 1.3648e+02 5.2107e+01 -7.8406e+00 -2.8602e+00 2.6163e+02 1.5999e+02 0.0000e+00 0.0000e+00
5.2602e-02 3.1829e+03 3.4436e+01 -3.3970e+00 6.4737e+03 3.2674e+03 2.6346e+01 1.3512e+02 5.7471e+01 -9.4392e+00 -3.6965e+00 2.5032e+02 1.5311e+02 0.0000e+00 0.0000e+00
5.7032e-02 3.0072e+03 3.6705e+01 -2.8761e+00 6.1328e+03 3.0992e+03 2.9898e+01 1.3359e+02 6.3209e+01 -1.1230e+01 -4.6484e+00 2.3854e+02 1.4619e+02 0.0000e+00 0.0000e+00
6.1836e-02 2.8401e+03 3.9010e+01 -2.2007e+00 5.8090e+03 2.9400e+03 3.3881e+01 1.3187e+02 6.9341e+01 -1.3206e+01 -5.7100e+00 2.2640e+02 1.3931e+02 0.0000e+00 0.0000e+00
6.7045e-02 2.6553e+03 4.0970e+01 -1.2673e+00 5.4505e+03 2.7653e+03 3.8299e+01 1.2994e+02 7.5820e+01 -1.5310e+01 -6.8460e+00 2.1407e+02 1.3249e+02 0.0000e+00 0.0000e+00
7.2692e-02 2.4392e+03 4.2203e+01 -3.0355e-02 5.0273e+03 2.5543e+03 4.3050e+01 1.2780e+02 8.2486e+01 -1.7423e+01 -7.9907e+00 2.0169e+02 1.2573e+02 0.0000e+00 0.0000e+00
7.8815e-02 2.1781e+03 4.2207e+01 1.5205e+00 4.5081e+03 2.2953e+03 4.7891e+01 1.2543e+02 8.9046e+01 -1.9390e+01 -9.0580e+00 1.8944e+02 1.1903e+02 0.0000e+00 0.0000e+00
8.5454e-02 1.8924e+03 4.1076e+01 3.2265e+00 3.9372e+03 2.0111e+03 5.2471e+01 1.2282e+02 9.5121e+01 -2.1071e+01 -9.9704e+00 1.7740e+02 1.1238e+02 0.0000e+00 0.0000e+00
9.2652e-02 1.6216e+03 3.9451e+01 4.8357e+00 3.3988e+03 1.7443e+03 5.6482e+01 1.1999e+02 1.0040e+02 -2.2412e+01 -1.0704e+01 1.6558e+02 1.0579e+02 0.0000e+00 0.0000e+00
1.0046e-01 1.4074e+03 3.8160e+01 6.1164e+00 2.9691e+03 1.5295e+03 5.9832e+01 1.1694e+02 1.0483e+02 -2.3487e+01 -1.1302e+01 1.5391e+02 9.9315e+01 0.0000e+00 0.0000e+00
1.0892e-01 1.2632e+03 3.7958e+01 7.0425e+00 2.6845e+03 1.3884e+03 6.2763e+01 1.1368e+02 1.0866e+02 -2.4453e+01 -1.1849e+01 1.4237e+02 9.3042e+01 0.0000e+00 0.0000e+00
