# tau z t H R drift growth_m growth_cdm velfac
# sigma8 = 0.835034
 2925.1858041576  24.280974577076  41.644163520513 0.015907617692295   11298.83551069  -52942.99192457 0.051220356865931 0.051888325537832 0.99489988082411
 2936.3104631394  24.104934671319  42.085746196013 0.015741365116005  11287.710851708 -52662.730610216 0.051577690251402 0.052245663371295 0.99493327842949
 2947.4743324356  23.930120571868  42.531992651221 0.015576853379263  11276.546982412 -52383.439910345 0.051937528643023 0.052605503687577 0.99496639010198
 2958.6775478575  23.756523743328  42.982952046797 0.015414064210835   11265.34376699 -52105.116523078 0.052299889580902 0.052967863514708 0.99499921497373
 2969.9202456842  23.584135709735  43.438674060833 0.015252979532144  11254.101069163 -51827.757157406 0.05266479072678 0.053332759858307 0.99503175215801
  2981.202562664  23.412948054137  43.899208894278 0.015093581455219  11242.818752184 -51551.358533168 0.053032249864848 0.05370020970173 0.99506400173261
 2992.5246360159   23.24295241819  44.364607276429 0.014935852280676  11231.496678832 -51275.917381019 0.053402284903302 0.054070230325429 0.99509596797837
 3003.8866034308  23.074140501744   44.83492047047 0.014779774495714  11220.134711417 -51001.430442405 0.05377491387762 0.054442840361544 0.99512765525909
 3015.2886030731  22.906504062443  45.310200279077 0.014625330772139  11208.732711775 -50727.894469533 0.054150154949176 0.054818058787281 0.99515906371245
 3026.7307735815  22.740034915317  45.790499050075 0.014472503964402  11197.290541266 -50455.306225348 0.054528026405246 0.055195904554766 0.99519019232912
 3038.2132540711  22.574724932387  46.275869682159 0.014321277107663  11185.808060777 -50183.662483502 0.054908546659849 0.055576396591197 0.99522104008019
 3049.7361841343  22.410566042267  46.766365630665 0.014171633415876  11174.285130713 -49912.960028327 0.055291734254605 0.055959553798986 0.99525160591472
 3061.2997038421  22.247550229769  47.262040913416 0.014023556279886  11162.721611006 -49643.195654812 0.055677607859582 0.056345395055911 0.99528188876017
 3072.9039537456  22.085669535512  47.762950116616 0.013877029265564  11151.117361102 -49374.366168569 0.056066186274165 0.056733939215262 0.99531188752326
 3084.5490748775  21.924916055534  48.269148400806 0.01373203611194   11139.47223997 -49106.468385813 0.056457488427918 0.057125205105982 0.99534160108889
 3096.2352087531  21.765281940907  48.780691506893 0.013588560729376  11127.786106095  -48839.49913333 0.056851533381458 0.057519211532812 0.99537102831927
 3107.9624973719  21.606759397352  49.297635762228 0.013446587197743  11116.058817476 -48573.455248453 0.057248340327328 0.057915977276432 0.99540016805488
 3119.7310832185  21.449340684859  49.820038086752 0.013306099764632  11104.290231629 -48308.333579034 0.057647928590882 0.058315521093598 0.99542901911313
 3131.5411092648  21.293018117311  50.347955999211 0.013167082843566  11092.480205583 -48044.130983418 0.058050317631171 0.058717861717282 0.99545758028893
 3143.3927189702  21.137784062106  50.881447623429 0.013029521012253  11080.628595877 -47780.844330415 0.058455527041838 0.059123017856811 0.99548585399996
 3155.2860562839  20.983630939785  51.420571694646 0.012893399010837  11068.735258564 -47518.470499275 0.05886357655499 0.059531008592859 0.99551385660626
 3167.2212656456  20.830551223664  51.965387565925 0.012758701740184  11056.800049202 -47257.006379662 0.059274486050738 0.059941854500616   0.995541603997
 3179.1984919871  20.678537439466  52.515955214623 0.012625414260173  11044.822822861 -46996.448871625 0.059688275549668 0.060355576493998 0.99556909813591
 3191.2178807334  20.527582164954  53.072335248932 0.012493521788018  11032.803434114 -46736.794885574 0.060104965211044 0.060772195460257 0.99559633763411
 3203.2795778042  20.377678029571  53.634588914482 0.012363009696597  11020.741737043 -46478.041342253 0.060524575333731 0.061191732260128 0.99562332107765
 3215.3837296151  20.228817714077  54.202778101018 0.012233863512805  11008.637585233 -46220.185172714 0.060947126357131 0.061614207727976 0.99565004702878
 3227.5304830788  20.080993950198  54.776965349142 0.012106068915926  10996.490831769  -45963.22331829 0.061372638862119 0.062039642671939 0.99567651402428
 3239.7199856065  19.934199520263  55.357213857129 0.011979611736013  10984.301329241 -45707.152730571 0.061801133571987 0.062468057874076 0.99570272057483
 3251.9523851092  19.788427256859  55.943587487807 0.011854477952298  10972.068929738 -45451.970371376 0.062232631353392 0.062899474090505 0.99572866516626
 3264.2278299988  19.643670042476  56.536150775513 0.011730653691611  10959.793484849 -45197.673212728 0.062667153217311 0.063333912051543  0.9957543462576
 3276.5464691894  19.499920809163  57.134968933123 0.011608125226818  10947.474845658  -44944.25823683    0.06310472032 0.063771392461844  0.9957797622813
 3288.9084520988   19.35717253818  57.740107859145 0.011486878975272  10935.112862749 -44691.722436037 0.063545353963963 0.064211936000534 0.99580491164334
 3301.3139286494  19.215418259657  58.351634144893 0.01136690149729  10922.707386198 -44440.062812831 0.063989075598917 0.064655563321346 0.99582979272129
 3313.7630492696  19.074651052254  58.969615081737 0.011248179494636  10910.258265578 -44189.276379795 0.064435906822773 0.065102295052802 0.99585440314652
  3326.255964895  18.934864042823  59.594118668417 0.011130699809027  10897.765349953 -43939.360159591 0.064885869381968  0.0655521522706 0.99587873805818
 3338.7928269696  18.796050406071  60.225213618444 0.011014449420651  10885.228487878  -43690.31118493 0.065338985170841 0.066005157649293 0.99590279278396
 3351.3737874471  18.658203364229  60.862969367569 0.010899415446701  10872.647527401 -43442.126498551 0.065795276234326 0.066461334184431 0.99592656507438
 3363.9989987919  18.521316186719  61.507456081333 0.01078558513993  10860.022316056 -43194.803153193 0.066254764769421 0.066920704843157 0.99595005317425
 3376.6686139805  18.385382189827  62.158744662694 0.010672945887215  10847.352700867 -42948.338211571 0.066717473126187 0.067383292564346 0.99597325529927
 3389.3827865026  18.250394736378  62.816906759728 0.010561485208138  10834.638528345 -42702.728746353 0.067183423808765 0.067849120258752 0.99599616963387
 3402.1416703621  18.116347235406  63.482014773417 0.010451190753583  10821.879644486 -42457.971840132 0.067652639476384 0.068318210809138 0.99601879433117
 3414.9454200786  17.983233141841  64.154141865513 0.01034205030435  10809.075894769 -42214.064585404 0.068125142944381 0.068790587070418 0.99604112751332
 3427.7941906881   17.85104595618  64.833361966477 0.010234051769781   10796.22712416 -41971.004084542 0.068600957185229 0.06926627186979 0.99606316726919
 3440.6881377446   17.71977922418  65.519749783508 0.010127183186399  10783.333177103 -41728.787449773 0.069080105329567 0.069745288006862 0.99608491165566
  3453.627417321  17.589426536533  66.213380808653 0.010021432716565  10770.393897527 -41487.411803152 0.069562610667237 0.070227658253787 0.99610635869602
 3466.6121860098  17.459981528561  66.914331326992 0.0099167886471518  10757.409128838 -41246.874276539 0.070048496648323 0.070713405355386 0.99612750637964
